gender,mode,acc_phon,phr_phon,fin_phon,l_grand_mean_t,h_grand_mean_t,l_f0_z,h_f0_z,f0_exc_z,lh_slope
F,MYN,L*H,% L*H L*H %,%,84,278,-1.0432000000000017,1.171199999999999,2.2144000000000004,32.874
F,MYN,L*H,% L*H L*H %,%,82,276,-0.8032000000000017,1.3279999999999972,2.131199999999999,36.477
F,MYN,L*H,% (*) L*H L%,L%,77,212,-0.2688000000000011,1.5903999999999996,1.8592000000000006,48.4
F,MYN,L*H,% (*) L*H L%,L%,64,204,-0.4608000000000038,1.4207999999999992,1.881600000000003,48.755
F,MYN,L*H,% (*) L*H L%,L%,73,208,-0.908800000000001,0.9248000000000002,1.8336000000000012,45.027
F,MYN,L*H,% (*) L*H L%,L%,73,193,-0.48320000000000163,1.107199999999998,1.5903999999999996,47.994
F,MYN,L*H,% (*) L*H L%,L%,72,222,-0.905600000000004,0.8159999999999991,1.7216000000000031,45.506
F,MYN,L*H,% (*) L*H L%,L%,49,210,-0.9024000000000023,0.627199999999998,1.5296000000000003,30.632
F,MYN,L*H,% (*) L*H L%,L%,78,203,-0.9216000000000031,1.2319999999999982,2.1536000000000013,55.778
F,MYN,L*H,% (*) L*H L%,L%,77,210,-1.0976000000000021,0.6751999999999998,1.772800000000002,41.452
F,MYN,L*H,% (*) L*H L%,L%,49,201,-1.145600000000004,0.4479999999999973,1.5936000000000012,31.821
F,MYN,L*H,% (*) L*H L%,L%,75,209,-1.2576000000000023,0.3967999999999984,1.6544000000000008,39.367
F,MDC,L*H,%H >H* L*H %,%,118,310,-1.6527390900649965,-0.06499535747446637,1.5877437325905301,20.994
F,MDC,L*H,%H L*H L*H %,%,99,294,-1.935933147632313,-0.8217270194986054,1.1142061281337075,15.962
F,MDC,L*H,%H >!H* L*H %,%,110,327,-2.985143918291554,-0.8774373259052928,2.1077065923862612,22.392
F,MDC,L*H,% L*H L*H %,%,110,344,-2.887650882079851,-1.9034354688950763,0.9842154131847749,12.731
F,MDC,L*H,% >H* L*H %,%,110,299,-2.3073351903435464,-0.9935004642525537,1.3138347260909926,16.054
F,MDC,L*H,%H (*) L*H %,%,139,285,-0.9702878365831028,0.8077994428969336,1.7780872794800364,38.277
F,MDC,L*H,%H (*) L*H %,%,128,289,-1.4298978644382536,0.6174558960074272,2.047353760445681,36.93
F,MDC,L*H,%H (*) L*H %,%,143,290,-1.5506035283194075,0.301764159702881,1.8523676880222886,36.134
F,MDC,L*H,% >H* L*H %,%,124,281,-1.852367688022282,0.1903435468895063,2.0427112349117884,34.667
F,MDC,L*H,%H (*) L*H %,%,143,271,-2.1216341689879328,-0.7799442896935965,1.3416898792943361,26.37
F,MDC,L*H,% >H* L*H %,%,123,323,-0.5292479108635101,0.663881151346329,1.193129062209839,12.787
F,MDC,L*H,% >H* L*H %,%,93,331,-1.0770659238625848,0.9517177344475382,2.028783658310123,17.877
F,MDC,L*H,% >H* L*H %,%,116,304,-1.40204271123491,0.05571030640668735,1.4577530176415974,18.924
F,MDC,L*H,% >H* L*H %,%,111,342,-0.8356545961002773,0.7242339832869091,1.5598885793871864,17.728
F,MDC,L*H,% >H* L*H %,%,137,366,-1.2488393686165264,0.037140204271122704,1.285979572887649,13.874
F,MDQ,L*H,% >H* L*H %,%,62,284,-2.1866295264623994,-0.21355617455896378,1.9730733519034356,20.801
F,MDQ,L*H,% >H* L*H %,%,89,312,-2.0705663881151386,0.04178272980501551,2.112349117920154,24.622
F,MDQ,L*H,% L*H L*H %,%,100,307,-2.780872794800369,0.3296193129062181,3.110492107706587,33.229
F,MDQ,L*H,% L*H L*H %,%,59,290,-1.8105849582172728,-0.7195914577530164,1.0909935004642564,10.059
F,MDQ,L*H,%H L*H L*H %,%,94,280,-1.7223769730733556,0.12070566388115372,1.8430826369545092,23.572
F,MDQ,L*H,% (*) L*H %,%,111,271,-1.0213556174558973,2.163416898792942,3.1847725162488394,66.835
F,MDQ,L*^[H],% (*) L*^[H] %,%,110,282,-1.4809656453110482,2.2748375116063166,3.7558031569173647,69.413
F,MDQ,L*^[H],% (*) L*^[H] %,%,99,271,-1.3045496750232137,1.7409470752089138,3.0454967502321275,57.261
F,MDQ,L*^[H],% (*) L*^[H] %,%,105,246,-0.8356545961002773,2.5023212627669458,3.337975858867223,65.359
